average_rating,author_id,text_reviews_count,name,ratings_count
3.92,10333,5075,Barbara Hambly,122118
4.18,19158,486,Rachel Roberts,13677
3.84,3083854,9732,Tom Wolfe,210744
4.29,4862,3992,Randy Alcorn,56585
3.99,137561,12146,Jennifer L. Holm,128152
4.01,3389,367487,Stephen King,10666719
4.1,1265,127817,Jane Austen,4693826
4.11,8551671,1,Lindsey Schussman,9
4.13,16667,39262,Isaac Asimov,1533093
3.84,4918,1149,Robert Burleigh,4560
3.97,123715,115724,Agatha Christie,2559239
3.68,169662,279,Duncan Rouleau,4329
3.46,23519,832,Joe Casey,8611
3.95,18119,3099,Joe Kelly,39295
3.74,29688,835,Steven T. Seagle,7649
4.06,37450,12304,Ed Brubaker,233336
4.05,16209952,8,Jason Delgado,19
3.87,853385,70,Chris Martin,758
4.12,293603,8949,Heather Brewer,127881
3.89,81563,629,Jerry Siegel,5425
3.94,89537,396,Joe Shuster,3266
3.62,1015982,7,Yuu Asami,128
4.19,14965,11103,Garth Ennis,377440
3.58,3188368,32,Tomas Aira,231
3.81,131836,103,Keith Burns,1742
4.19,7507599,10,Matt Martin,57
3.54,24594,205,Mike Wolfer,2915
3.72,14155472,1278,Simon Spurrier,12378
3.44,8224446,12,Fernando Heinz,108
3.45,1251983,46,Rafael Ortiz,423
3.73,5808419,28,DigiKore Studios,409
3.75,4346284,64,Jaymes Reed,332
4.38,4391289,213,Jeon Geuk-Jin,9517
4.06,8164,24057,Lewis Carroll,1022402
3.79,7414637,46,Kazumasa Hirai,1450
4.17,3137322,42613,Fyodor Dostoyevsky,1052406
3.68,13730,30300,R.L. Stine,670491
3.84,854076,24362,Robert Louis Stevenson,834908
3.95,3354,114375,Haruki Murakami,1588319
3.82,10885,11255,Edgar Rice Burroughs,220737
4.1,70026,16774,Scott Snyder,249636
3.82,5752063,299,Scott Tuft,3616
4.01,3376756,1810,Attila Futaki,25476
3.76,612167,819,Sarah Kuhn,3263
4.09,10366,15933,Clive Barker,437966
3.95,20560,3126,Sheri S. Tepper,56437
4.02,61231,893,Scott Beatty,18313
3.8,4980321,122,Daniel Indro,766
4.4,294649,3190,Naoki Urasawa,93306
3.49,93069,225,Rich Tommaso,1545
3.83,21911,27662,Melissa de la Cruz,558518
4.28,791996,900,Maki Minami,56914
4.09,7581,54355,Kelley Armstrong,1056467
3.98,117366,6164,Keigo Higashino,45284
4.23,6869276,478,Takashi Murakami,2263
3.74,2565,12749,Ian Fleming,232196
4.08,8993,3729,O. Henry,120633
3.87,24781,4727,Dan Slott,61621
4.01,79136,659,Andrea DiVito,15536
3.81,169661,658,Kieron Dwyer,9573
4.14,1023510,12956,R.A. Salvatore,677940
3.98,3843,4846,Kenneth Grahame,151009
4.36,311098,1116,Katsura Hoshino,79168
4.37,6474348,31899,Pierce Brown,290915
3.81,468915,843,Serge Bloch,4172
4.15,12772,14731,Warren Ellis,344307
4.28,12771,4099,Darick Robertson,157674
4.15,5158478,55952,Anonymous,1070234
4.13,14529,274,Yuki Shimizu,9177
4.1,15176377,47,Zhi Shui yuki,1226
3.86,130617,256,Usamaru Furuya,2951
3.87,4798562,6767,Caitlin R. Kiernan,72120
