work_id,book_id
797,"[3352661, 19545707, 620786, 32620655, 10478927, 13248452, 29421038, 18499512, 10634166, 107013, 16036878, 297627]"
1027,"[89816, 9172685]"
1315,"[863050, 9697547, 412264, 321821, 17790324, 34072]"
1398,[7552]
2647,"[825059, 437382, 6886316, 13405305, 1023049, 20334486, 71252, 17413184, 22038044, 7142444, 10432614, 13227299, 15708699, 15060503, 7777032]"
2648,"[33299739, 17607793, 825062, 92062, 34859894, 6886327, 13625962, 13622049, 27826345, 32604697, 17213611, 9334389, 26802133, 25099, 13494303, 9858299, 6089412, 17854378, 1239769, 17927468, 15836466, 16053587, 17802721, 14424888, 17802684, 9661803, 6438754, 7247463]"
2652,"[22339, 10439185, 829326, 597629]"
2670,"[27404275, 47694, 1021486, 250290, 9817433, 16123554, 19571680, 9079770, 1246842]"
2671,"[13227824, 6885798, 47702, 201283, 20654864, 17447802]"
2782,[15136]
2910,"[21330, 19040552, 22471708, 472440, 16222892]"
4065,"[25098265, 105720, 583412]"
4374,"[609497, 43554, 6631350]"
4676,"[10273309, 374]"
4841,[586]
4900,[649]
4955,[710]
5155,[941]
5342,"[6713386, 1144]"
5954,[1831]
6660,[2727]
6700,[2777]
6701,[2778]
6783,"[2879, 24512396, 6878634]"
6790,"[29394773, 13458344, 30298756, 2671839, 14622819, 13616, 9442475, 20496545, 13494265, 1414864, 2886, 15703590]"
6791,"[13478799, 29394735, 9442413, 30062064, 1783300, 13499720, 20410912, 19376090, 13633202, 9767684, 16300189, 35758247, 13618, 2068469, 8511002, 1414866, 2887, 19039355]"
6806,"[25069046, 13456385, 7437140]"
6807,[2905]
7121,[3277]
7309,[3521]
7313,[3525]
7318,[3530]
7663,"[3940, 9767915]"
7683,[3960]
7837,[4134]
8329,[4745]
8604,[5069]
8606,"[6441600, 5071]"
8769,"[12849649, 14761130, 22057697, 5309, 15747169, 16479323, 13443353]"
9113,[5711]
9162,"[673170, 5764]"
9606,[6299]
9850,"[26827497, 6587]"
10237,[7049]
10341,"[7203, 559367, 559377]"
10398,"[286321, 9562010, 7268, 26110562, 1311062]"
10663,[7551]
10664,[7553]
10665,[7554]
10671,[7560]
10674,[7564]
10675,[7565]
10676,[7566]
10677,[7567]
10679,[7569]
10680,[7570]
10875,[7841]
10876,"[1117959, 7842]"
11126,"[8172, 1063649, 18133083]"
11681,[8760]
11886,[8991]
11888,[8993]
12501,[9699]
13362,[10730]
13368,[10736]
13369,[10737]
13370,[10738]
13553,[10966]
13848,[11385]
14002,[11565]
14011,"[10459516, 22056943, 33852449, 9871074, 32505809, 35517109, 11580]"
15638,[13488]
15648,"[16032650, 15852329, 22116832, 11385887, 18660684, 3303598, 13501, 3428766, 27246838, 67954, 25859657, 10212709, 147911, 3328931, 18266060, 67967]"
15689,"[13549, 7362293]"
15690,"[13550, 7362298]"
15691,"[13551, 7362320]"
15696,[13556]
15697,[13557]
15708,"[16083693, 13568]"
15709,"[9684537, 5983927, 13569]"
15710,"[12667563, 9684203, 13570, 1792402]"
15711,[13571]
15713,"[9684558, 13573, 16082616]"
15714,"[9684462, 13574, 12667468]"
15715,"[13575, 16082906]"
15716,"[16082897, 9684605, 13576]"
15717,"[9684550, 18309794, 13577]"
15718,"[12667567, 1792395, 13578]"
15719,"[16083699, 13579]"
15720,"[13580, 16082588]"
15728,"[13588, 6744266]"
15729,"[6744287, 13589]"
15730,"[6744178, 13590, 20601219, 30630608]"
15731,"[13591, 6744307]"
15732,"[13592, 6744323]"
15733,"[6744432, 6801636, 18170003, 13593]"
15734,"[13594, 9461904, 6744465]"
15736,"[6744378, 13596, 4572620]"
15737,"[6797429, 6744434]"
15741,"[6419584, 6744427]"
15742,"[6226621, 6744424]"
15749,"[13609, 8216628, 6744459]"
15750,"[13610, 8216627, 6744451]"
15753,"[6744438, 7326723]"
15760,"[15739382, 17828071, 17162008, 9442664, 2676735, 10326434, 29534308, 13411812, 13557838, 15815969, 31344096, 13620, 1414871]"
15762,"[3300251, 24212694, 32938371, 3466709, 29747226, 18361257, 9442751, 13622, 2518452]"
15763,"[18658242, 29748794, 3362627, 33006568, 9442775, 13490635, 16279815, 13458789, 6737368, 13623, 22125302]"
15769,[13630]
15770,"[13631, 31776809]"
15771,[13632]
15775,[13636]
15826,[13695]
15828,"[6798085, 13697]"
15829,"[3977109, 6659771, 13698, 6720157]"
15835,"[7336181, 13704]"
15836,"[13705, 7624221]"
15848,[13717]
15850,[13719]
15852,[13721]
15853,"[13722, 1297557]"
15856,[13725]
15861,"[13730, 7795684]"
15865,[13734]
15866,"[8045135, 13735]"
15867,"[1997018, 13736]"
15892,[13764]
15893,[13765]
15894,[13767]
15896,[13769]
15906,[2100673]
15918,[13784]
15932,[13805]
16003,[13896]
16164,"[1819862, 14078]"
16172,[14089]
16173,"[10085113, 14090, 7000387]"
16174,[14091]
16175,[14092]
16197,[14114]
16198,[14115]
16222,[14143]
16257,[14179]
16505,[14471]
16533,"[14500, 16157160]"
16777,"[14772, 26860770]"
16924,"[14976, 8758096]"
16998,[15067]
17486,"[15650, 7337425]"
17501,"[983103, 6001019, 2135533, 22357815, 15666, 18746366]"
17503,[15668]
17510,[15675]
17532,"[15701, 7278915, 526850, 1860430, 1072450]"
17598,[15778]
17803,"[1022591, 1022590, 2518429, 16012]"
17869,[16086]
17870,[16087]
17872,"[528506, 16089]"
17873,[16090]
17875,[16092]
17918,[16141]
18254,[16575]
18287,[16612]
18291,"[16616, 5301968]"
18332,"[20530760, 16661]"
18618,[16983]
18619,"[16984, 25156418]"
18621,[16987]
18623,[16989]
18624,[16990]
18628,[16994]
18630,[16996]
18631,"[25701402, 16997]"
18632,[16998]
18633,"[16999, 29626402]"
18634,[17000]
18662,[17034]
18787,"[17192, 89815]"
18810,[17219]
19320,[17805]
19333,[17820]
19744,"[18296, 21519941]"
19746,[18298]
20424,"[19126, 7360245]"
20680,[19440]
21160,"[2427848, 19961]"
21162,[19963]
21163,[19964]
22010,[20822]
22461,[21280]
22501,[21320]
22505,"[1565306, 21842031, 19018861, 21324, 17705027]"
22767,"[21635, 7703201]"
22768,"[21636, 6998144, 7703202]"
22771,[21639]
23130,[22061]
23269,[22213]
23369,[22342]
23372,[22346]
23373,"[22347, 24057237, 13558258]"
23374,"[22348, 1424392]"
23375,"[22349, 24057483]"
23376,"[12867714, 22350, 25241746]"
23379,[22353]
23380,"[14486678, 22718309, 22354]"
23381,"[6930049, 22355]"
23384,"[9970966, 17978543, 15999293, 23619156, 14622854, 28944529, 1424415, 1333819, 22358, 17681220]"
23386,[22360]
23387,"[22361, 771188, 20821397, 11812925]"
23391,"[22365, 13528816]"
23393,[22367]
23394,[22368]
23395,"[22369, 2325421]"
23399,"[22373, 10258366]"
23402,[14498318]
23406,"[17671989, 15841926, 22364, 382460, 21556023]"
23407,[154534]
23408,"[10809463, 22382, 3864031]"
23409,[22383]
23414,[22388]
23416,"[21031838, 22390]"
23417,[22391]
23418,[22392]
23420,"[28004116, 22394, 1208854]"
23427,"[13499480, 22401, 1208857]"
23442,"[6505170, 18902347, 992971, 13480574, 22416, 3931645]"
23445,"[22427, 22419]"
23446,"[22420, 7599985, 13129730, 17369180, 20232821, 209989]"
23449,"[25097939, 22423, 7784056, 20170322]"
23450,"[23528762, 22424, 9968822, 30357379, 25097983]"
23452,"[22426, 25097929, 7943108]"
23477,[22451]
23569,[22551]
23570,[22552]
23571,"[18753765, 28430370, 22553]"
23574,[22556]
23577,[22559]
23638,"[22620, 16154481, 10824516]"
23690,"[22678, 6314733]"
23713,[22705]
23714,[22706]
23715,[22707]
23716,[22708]
23717,[22709]
23718,[22710]
23723,[22715]
23793,[489697]
23798,[570410]
23805,"[330751, 6818131, 12144294]"
23812,[1302738]
23815,[330755]
23825,[22821]
23827,[22823]
23835,[22831]
23836,[22832]
23865,"[22861, 1410102]"
23887,[22883]
23934,"[22932, 1973622, 9525804]"
23935,"[9525810, 8411427, 22933]"
23936,"[9525811, 22934]"
24326,[23355]
24329,[23358]
24504,[23551]
24640,"[1624092, 23697]"
24656,[23713]
24657,"[23714, 3023826]"
24658,"[23715, 17191389, 18195138, 11745270]"
24659,"[23716, 8474640]"
24660,[23717]
24666,[23723]
24671,"[23722, 23728, 26079087, 35239559]"
24673,"[26079259, 23730, 35213187, 732139]"
24681,"[26079037, 23724, 23735, 11210846]"
24682,"[26079062, 23721, 23739]"
24683,"[26079200, 732140, 35221697, 23740, 9662188]"
24684,"[18109714, 23727, 626339, 26079335, 23741, 23745]"
24685,"[9720692, 26079159, 23720, 23734]"
24690,[2216237]
25074,[24175]
25209,[24345]
25328,[24478]
25344,"[1024280, 24494, 1024294, 29100784, 26559]"
25599,"[15802147, 24812]"
25601,"[13251578, 4446428, 26554, 17415974, 13131370, 24814]"
25602,"[873135, 297839, 18804290, 24815]"
25854,"[31119868, 12550348, 10417835, 19084959, 818484, 9874232, 18911763, 18759197, 25101, 104596, 29434521, 20326689, 10632715, 32795951, 166569, 8462092, 9918498]"
25901,"[34328311, 22098738, 13558413, 8390854, 25152, 1366028]"
25902,"[34439715, 10594036, 25153, 564876]"
25903,"[1787852, 24304852, 34601676, 25154]"
25936,[25187]
25959,[25211]
25964,[25216]
26074,[25331]
26096,[25355]
26116,[25375]
26506,[25786]
26536,"[25816, 1859332]"
26537,"[25817, 1393505]"
26540,[25820]
26541,[25821]
26542,[25822]
26543,[25823]
26544,[25824]
26551,[25831]
26566,[25846]
26567,[25847]
26568,[25848]
26569,[25849]
26570,[25850]
26571,[25851]
26572,"[19479958, 25852]"
26573,[25853]
26574,[25854]
26575,[25855]
26633,"[13628857, 25918]"
26634,[25919]
26636,"[13628845, 25921]"
26637,[25922]
26638,[25923]
26639,"[13628864, 25924]"
26846,[26155]
26847,"[26156, 866535]"
26848,[26157]
26913,[27777998]
26926,[26238]
26927,[26239]
26928,[26240]
27110,"[6607991, 26422, 35397901]"
27263,[26580]
27353,[26673]
27461,[26781]
27467,[26787]
27515,[26835]
27541,[26861]
27544,[26864]
27677,"[17831283, 27023, 20628684]"
27845,"[27194, 8852646]"
28067,"[27440, 6626127, 21014224, 19924693]"
29122,"[13642199, 28600]"
29366,"[28885, 27187361]"
29485,"[29012, 28595938]"
29487,[29014]
29489,"[13538045, 29016]"
29491,[825116]
29492,"[29019, 17206049]"
29567,[29096]
29568,[29097]
29569,[29098]
29570,"[29099, 4070170]"
29571,[29100]
29572,[29101]
29574,[29103]
29576,[29105]
29579,[29108]
29619,[29150]
29620,[29151]
29621,[29152]
29622,[29153]
29623,[29154]
29624,"[6557590, 29155]"
29625,"[6557591, 29156]"
29949,[29496]
29950,[29497]
29951,[29498]
29952,[29499]
29953,[29500]
29985,[29535]
29990,[29540]
29998,[29550]
30220,"[7914244, 22358784, 17938463, 9107928, 14623757, 25155808, 23003027, 23964194, 23304587, 18713042, 24982185, 8288126, 14080417, 11214562, 7942604, 15997822, 29800, 34732262, 33797065, 8031629]"
30221,"[24967575, 8608358, 15898731, 18657982, 7942605, 9680513, 29801]"
30222,"[17172103, 11263355, 8454810, 25261195, 11318137, 7780861, 18887514, 29802]"
